2025-02-20 17:07:12 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - LOGV001 - Weather Forecast Integration - Started
2025-02-20 17:07:24 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - ERROR001 - Generic error during integration - I/O error on GET request for "https://apixxx.open-meteo.com/v1/forecast": Este host não é conhecido (apixxx.open-meteo.com)
2025-02-20 17:07:35 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - ERROR001 - Generic error during integration - I/O error on GET request for "https://apixxx.open-meteo.com/v1/forecast": Este host não é conhecido (apixxx.open-meteo.com)
2025-02-20 17:07:35 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - LOGV100 - Weather Forecast Integration - End
2025-02-20 17:08:54 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - LOGV001 - Weather Forecast Integration - Started
2025-02-20 17:09:33 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - LOGV001 - Weather Forecast Integration - Started
2025-02-20 17:11:31 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - LOGV001 - Weather Forecast Integration - Started
2025-02-20 17:11:42 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - ERROR001 - Generic error during integration - I/O error on GET request for "https://apixxx.open-meteo.com/v1/forecast": Este host não é conhecido (apixxx.open-meteo.com)
2025-02-20 17:11:54 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - ERROR001 - Generic error during integration - I/O error on GET request for "https://apixxx.open-meteo.com/v1/forecast": Este host não é conhecido (apixxx.open-meteo.com)
2025-02-20 17:11:54 [Camel (camel-1) thread #1 - timer://fetchWeather] INFO  DailyWeatherRoute - LOGV100 - Weather Forecast Integration - End
2025-02-20 17:20:31 [Camel (camel-3) thread #3 - timer://fetchWeather] INFO  DailyWeatherRoute - LOGV001 - Weather Forecast Integration - Started
